iter	Passed	Remaining
0	58	58120
1	58	29253
2	59	19627
3	59	14830
4	59	11932
5	60	10027
6	61	8664
7	61	7623
8	61	6808
9	62	6157
10	62	5626
11	62	5185
12	63	4811
13	63	4491
14	64	4222
15	64	3976
16	65	3759
17	65	3568
18	65	3397
19	66	3247
20	66	3106
21	66	2978
22	67	2862
23	67	2754
24	68	2656
25	68	2569
26	68	2485
27	69	2406
28	69	2331
29	70	2267
30	70	2202
31	70	2141
32	71	2083
33	71	2032
34	71	1984
35	72	1939
36	72	1898
37	73	1859
38	74	1823
39	74	1787
40	74	1749
41	75	1714
42	75	1680
43	75	1649
44	76	1620
45	76	1592
46	77	1566
47	77	1542
48	78	1515
49	78	1490
50	78	1465
51	79	1444
52	79	1421
53	79	1399
54	80	1379
55	80	1357
56	81	1340
57	81	1322
58	81	1302
59	81	1284
60	82	1277
61	83	1261
62	83	1247
63	84	1231
64	84	1215
65	84	1199
66	85	1184
67	85	1170
68	85	1155
69	85	1142
70	86	1128
71	86	1115
72	86	1102
73	87	1089
74	87	1077
75	87	1065
76	87	1054
77	88	1042
78	88	1031
79	88	1020
80	89	1010
81	89	999
82	89	987
83	89	978
84	89	968
85	90	959
86	90	950
87	90	941
88	91	932
89	91	924
90	91	915
91	91	907
92	92	899
93	92	891
94	92	883
95	93	876
96	93	868
97	93	861
98	93	854
99	94	847
100	94	840
101	94	833
102	94	826
103	95	819
104	95	813
105	95	806
106	95	801
107	96	794
108	96	788
109	96	782
110	97	776
111	97	771
112	97	765
113	97	759
114	97	754
115	98	748
116	98	742
117	98	737
118	99	733
119	99	728
120	99	723
121	99	717
122	100	713
123	100	708
124	100	704
125	100	699
126	101	694
127	101	690
128	101	685
129	101	681
130	102	677
131	102	673
132	102	668
133	102	664
134	103	660
135	103	656
136	103	652
137	103	648
138	104	645
139	104	641
140	104	637
141	104	633
142	105	629
143	105	626
144	105	622
145	105	619
146	106	615
147	106	612
148	106	609
149	106	606
150	107	602
151	107	599
152	107	596
153	108	593
154	108	590
155	108	587
156	108	584
157	109	581
158	109	578
159	109	575
160	109	571
161	109	568
162	110	566
163	110	563
164	110	560
165	111	557
166	111	555
167	111	552
168	111	549
169	112	546
170	112	544
171	112	541
172	112	539
173	113	536
174	113	534
175	113	531
176	113	529
177	114	526
178	114	524
179	114	522
180	114	520
181	115	517
182	115	515
183	115	513
184	116	511
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	117	496
192	118	494
193	118	491
194	118	489
195	118	487
196	119	485
197	119	483
198	119	481
199	119	479
200	120	477
201	120	475
202	120	474
203	121	472
204	121	470
205	121	469
206	122	467
207	122	466
208	122	464
209	123	464
210	123	462
211	123	460
212	124	459
213	124	457
214	124	455
215	125	453
216	125	452
217	125	450
218	125	448
219	126	446
220	126	445
221	126	443
222	126	441
223	127	440
224	127	438
225	127	436
226	127	435
227	128	433
228	128	432
229	128	430
230	128	428
231	129	427
232	129	425
233	129	424
234	129	422
235	130	421
236	130	419
237	130	418
238	130	416
239	131	415
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	406
246	133	405
247	133	404
248	133	402
249	133	401
250	134	400
251	134	398
252	134	397
253	134	396
254	135	394
255	135	393
256	135	392
257	135	391
258	136	389
259	136	388
260	136	387
261	137	385
262	137	384
263	137	383
264	137	382
265	138	381
266	138	379
267	138	378
268	138	377
269	139	376
270	139	375
271	139	374
272	140	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	367
278	141	365
279	141	364
280	142	363
281	142	362
282	142	361
283	142	360
284	143	359
285	143	358
286	143	357
287	144	356
288	144	355
289	144	354
290	144	352
291	145	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	146	344
299	147	343
300	147	342
301	147	341
302	148	340
303	148	339
304	148	338
305	148	337
306	149	336
307	149	335
308	149	334
309	149	333
310	150	332
311	150	331
312	150	330
313	151	329
314	151	329
315	151	328
316	151	327
317	152	326
318	152	325
319	152	324
320	152	323
321	153	322
322	153	321
323	153	320
324	153	319
325	154	318
326	154	317
327	154	317
328	155	316
329	155	315
330	155	314
331	155	313
332	156	312
333	156	311
334	156	310
335	156	310
336	157	309
337	157	308
338	157	307
339	157	306
340	158	305
341	158	304
342	158	304
343	158	303
344	159	302
345	159	301
346	159	300
347	160	299
348	160	298
349	160	298
350	160	297
351	160	296
352	161	295
353	161	295
354	162	294
355	162	293
356	162	293
357	162	292
358	163	291
359	163	290
360	163	289
361	164	289
362	164	288
363	164	287
364	164	286
365	165	286
366	165	285
367	165	284
368	165	283
369	166	283
370	166	282
371	166	281
372	167	280
373	167	280
374	167	279
375	167	278
376	168	277
377	168	277
378	168	276
379	168	275
380	169	274
381	169	274
382	169	273
383	169	272
384	170	271
385	170	271
386	170	270
387	171	269
388	171	269
389	171	268
390	171	267
391	172	266
392	172	266
393	172	265
394	172	264
395	173	264
396	173	263
397	173	262
398	174	262
399	174	261
400	174	261
401	175	260
402	175	259
403	175	259
404	175	258
405	176	257
406	176	257
407	176	256
408	177	255
409	177	255
410	177	254
411	178	254
412	178	253
413	178	252
414	178	252
415	179	251
416	179	250
417	179	250
418	179	249
419	180	248
420	180	248
421	180	247
422	180	246
423	181	246
424	181	245
425	181	244
426	182	244
427	182	243
428	182	242
429	182	242
430	183	241
431	183	241
432	183	240
433	183	239
434	184	239
435	184	238
436	184	237
437	184	237
438	185	236
439	185	235
440	185	235
441	185	234
442	186	234
443	186	233
444	186	232
445	187	232
446	187	231
447	187	231
448	187	230
449	188	229
450	188	229
451	188	228
452	188	228
453	189	227
454	189	226
455	189	226
456	189	225
457	190	224
458	190	224
459	190	223
460	190	223
461	191	222
462	191	221
463	191	221
464	191	220
465	192	220
466	192	219
467	192	219
468	193	218
469	193	218
470	193	217
471	194	217
472	194	216
473	194	216
474	194	215
475	195	214
476	195	214
477	195	213
478	195	213
479	196	212
480	196	211
481	196	211
482	196	210
483	197	210
484	197	209
485	197	209
486	198	208
487	198	208
488	198	207
489	198	206
490	199	206
491	199	205
492	199	205
493	199	204
494	200	204
495	200	203
496	200	203
497	200	202
498	201	202
499	201	201
500	201	200
501	202	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	203	196
509	204	196
510	204	195
511	204	195
512	204	194
513	205	194
514	205	193
515	205	192
516	205	192
517	206	191
518	206	191
519	206	190
520	206	190
521	207	189
522	207	189
